Question,Values Type,"Combine=1 separate=0 (""combine"" means I suggest keeping the questions as only one covariate and using the weighted average as the value )",Inverse,"Category(A=social economic status, B= Internet-related behaviors and attitudes , C= non Internet-related behaviors and attitudes )","Dependent Variable =1, Covariates=0","Notes (later, we may combine different covariates)"
Q4A,ordinal,0,,B,0,Internet trust
QA8,ordinal,NA,,C,0,people trust
QA9,ordinal,NA,,B,0,Internet attitudes
QB2,binary,0,,C,0,politics engagement
QP7,ordinal,0,,C,0,politics attitudes
QM1,binary,NA,,B/A,0,Internet equipment
QM2,binary,NA,,B/A,0,Internet equipment
QH7,binary,0,,B/A,0,Internet equipment
QH9,ordinal,NA,,B/A,0,Internet equipment
QC3,numerical,NA,,B,0,Internet experience
QH6,ordinal,NA,,B,0,Internet equipment
QC39.u_time,ordinal,NA,,B,0,Internet frequency
QC40. u_fund,categorical,NA,,B,0,Internet fund
QC23,ordinal,1,0,B,0,Internet ability
QC33,ordinal,1,0,B,0,Internet frequency
QP1. P_int,ordinal,NA,,C,0,Politics interest
QP2. P_party,categorical,NA,,C,0,politics attitudes
QP3,ordinal,1,0,C,0,politics engagement
QP4,ordinal,0,,C,0,politics attitudes
QP5,ordinal,1,0,C,0,politics ability
QP6,ordinal,0,,C,0,politics attitudes
QL2. Edntt,ordinal,NA,,A,0,education
QO1,ordinal,NA,,A,0,labor
QO4A,text,NA,,A,0,labor
QO4E. grader,ordinal,NA,,A,0,labor
QO5. Cie,binary,NA,,A,0,labor
QO6A,text,NA,,A,0,labor
QO6E. Gradec,categorical,NA,,A,0,labor
QO8. Worknet,binary,NA,,B,0,Internet frequency
QO16,ordinal,NA,,B,0,Internet ability
QD1. yrborn,numerical,NA,,A,0,age
QD2,binary,NA,,A,0,gender
QD3,categorical,NA,,A,0,martial
QD4,numerical,NA,,A,0,adults
QD5_childhh,numerical,NA,,A,0,kids
QD14,categorical,NA,,A,0,race
QD16,binary,NA,,A,0,disability
QD18,ordinal,NA,,A,0,urban
Q1,ordinal,NA,,A,0,income
Q2,ordinal,1,0,C,0,personality
Q3,ordinal,0,,C,0,personality
Q4,ordinal,0,,B,0,Internet engagement